product,rating,rating count,price,product url
"Plant Pots 8/7/6.5/6/5.5/5 Inch GARDIFE Self Watering Planters with Drainage Hole, Plastic Flower Pots, Planters for All House Plants, Succulents,Snake Plant, African Violet, Flowers, and Cactus  ",4.7 out of 5 stars,17  ,24.99,https://amazon.com/GARDIFE-Watering-Planters-Drainage-Succulents/dp/B0B6NSD6PD/ref=sr_1_41?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-41
"Dicunoy 2 Pack Faux Plants Indoor, 16"" Small Artificial Plants for Home Decor, Fake Plants for Living Room, Home, Bedroom, Office, Bathroom, Kitchen, Porch, Coffee Tables, Side Tables Desk  ",4.3 out of 5 stars,82  ,19.99,https://amazon.com/Dicunoy-Artificial-Farmhouse-Bedroom-Bathroom/dp/B094Z8BSLR/ref=sr_1_42?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-42
Whonline 8 Pack 6 Inch Flower Pots for Indoor Plants Colorful Plant Pots Outdoor Plastic Plant Planters with Drainage Hole for All House Plants Herbs Flowers and Seeding Nursery  ,4.7 out of 5 stars,15  ,13.99,https://amazon.com/Whonline-Colorful-Outdoor-Planters-Drainage/dp/B0B2C5WH1L/ref=sr_1_43?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-43
"Plant Pots 10/9/8 inch Set of 3, Flower Pots Outdoor Indoor, Planters with Drainage Hole, Speckled White  ",4.7 out of 5 stars,13  ,28.99,https://amazon.com/Flower-Outdoor-Planters-Drainage-Speckled/dp/B0BB28VQ6R/ref=sr_1_44?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-44
Plant Stand Indoor Outdoor - Metal 3 Tier Tall Flower Pot Holder - Corner Display Vertical Shelves Shelf - Iron Planter Rack Multiple Organizer for Garden Patio Lawn Balcony  ,3.8 out of 5 stars,5  ,17.99,https://amazon.com/Plant-Stand-Indoor-Outdoor-Organizer/dp/B0B3XM1QY6/ref=sr_1_45?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-45
"YIUKEA Plant Stand Indoor Outdoor - Metal Planter Holder Shelf Tall Tiered Flower Pot Display Organizer Rack for Garden, Patio, Living Room, Bathroom, Office (Black)  ",4.8 out of 5 stars,6  ,21.54,https://amazon.com/YIUKEA-Plant-Stand-Indoor-Outdoor/dp/B0B2QQH6KW/ref=sr_1_46?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-46
"Ceramic Indoor Pots for Plants, Rainbow Pearl Glaze Planter with Drainage Hole, 6.0 inch+5.0 Inch+4.0 Inch. Orchid Flower Pots  ",4.5 out of 5 stars,97  ,23.19,https://amazon.com/Ceramic-Indoor-Rainbow-Planter-Drainage/dp/B0B3DFPHM5/ref=sr_1_47?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-47
"Plant Pots 7/6.5/6/5.5/5 Inch GARDIFE Self Watering Planters with Drainage Hole, Plastic Flower Pots, Nursery Planting Pot for Indoor Plants, Succulents,Snake Plant, African Violet, and Cactus,Black  ",4.6 out of 5 stars,359  ,18.99,https://amazon.com/GARDIFE-Watering-Planters-Drainage-Succulents/dp/B09X56KLL3/ref=sr_1_48?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-48
"Caribbean Plastic Planter, Dusty Teal, 10""  ",4.6 out of 5 stars,"4,470  ",5.53,https://amazon.com/HC-Companies-CNA10000DE1C012LRDHC-planters-Dusty/dp/B08ZQS63K5/ref=sr_1_49?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-49
"JPSOR Faux Plants Indoor, Artificial Plants for Home Decor Indoor, Pothos Small Fake Plants for Living Room Decor Artificial Potted Plants for Indoor Outdoor Shelf Home Office Decor（Black Ceramic Pot）  ",4.3 out of 5 stars,149  ,22.99,https://amazon.com/JPSOR-Artificial-Outdoor-Decor%EF%BC%88Black-Ceramic/dp/B09N6JRJRX/ref=sr_1_50?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-50
